Air Asia,22,14.1,9
Air Canada,21.5,15.5,9.5
Air France,21.5,13.75,9.75
Airtran Airways,24,16,10
Alaska Airlines,24,17,10
Allegiant Air,22,14,9
American Airlines,22,14,9
Delta Airline,22,14,9
Frontier Airlines,24,16,10
Hawaiian Airlines,22,14,9
Jetblue Airways,22,14,9
Nok Air,22,14,9
Southwest Airlines,24,16,10
Spirit Airlines,22,18,10
United Airlines,22,14,9
US Airways,22,14,9
Virgin America,24,16,10
